Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
Mg1.00Ag1.00Sb0.99In0.01,300,163.1,64685,1.229,0.001720725,0.438,https://doi.org/10.1021/cm5041826
Mg1.00Ag1.00Sb0.99In0.01,300,155.45,79820,1.146,0.001928827,0.504928417,https://doi.org/10.1021/cm5041826
Rb7.88Au2.47Ge43.53,300,-12.61,551.4,2.0769,8.77E-08,1.27E-05,https://doi.org/10.1021/ic3024315
Ba0.03Co4.00Sb12.00,300,-219.66,39900,5.4135,0.001925196,0.106688588,https://doi.org/10.1063/1.2920210
Ba0.05Yb0.09Co4.00Sb12.00,300,-157.5,112400,2.814,0.002788223,0.29,https://doi.org/10.1063/1.2920210
Ba0.08Yb0.09Co4.00Sb12.00,300,-126.2,206600,2.51,0.003290403,0.38,https://doi.org/10.1063/1.2920210
Ba0.11Yb0.03Co4.00Sb12.00,300,-114.8,178700,3.203,0.002355094,0.215,https://doi.org/10.1063/1.2920210
Ba0.11Yb0.08Co4.00Sb12.00,300,-107,211500,2.38,0.002421463,0.3,https://doi.org/10.1063/1.2920210
Ba0.15Yb0.01Co4.00Sb12.00,300,-125.1,179700,4.35,0.002812307,0.193952193,https://doi.org/10.1063/1.2920210
Eu2.00Zn0.96Sb2.00,300,113,25918,0.54,0.000330947,0.183859412,https://doi.org/10.1073/pnas.1819157116
Eu2.00Zn0.98Sb2.00,300,142,18000,0.5,0.000362952,0.2177712,https://doi.org/10.1073/pnas.1819157116
Eu2.00Zn1.00Sb2.00,300,250,3231,0.43,0.000201938,0.140886628,https://doi.org/10.1073/pnas.1819157116
Bi0.48Sb1.52Te3.00,300,228.2,64770,1.258,0.003372913,0.804351342,https://doi.org/10.1021/acsami.1c05525
Sn1.00Se1.00,300,168.04,462,1.7279,1.30E-05,0.002265009,https://doi.org/10.1021/acsami.1c10081
Sn1.00Se0.90S0.10,300,186.08,530,1.4164,1.64E-05,0.003886965,https://doi.org/10.1021/acsami.1c10081
Sn1.00Se0.80S0.20,300,198.42,402,1.2672,1.58E-05,0.003746908,https://doi.org/10.1021/acsami.1c10081
Mg3.50Gd0.01Sb2.00,300,-239.64,5971,1.1912,0.000342899,0.086357938,https://doi.org/10.1021/acsami.0c22558
Mg3.50Gd0.02Sb2.00,300,-220,11583,1.1363,0.000560617,0.148011229,https://doi.org/10.1021/acsami.0c22558
Mg3.50Gd0.03Sb2.00,300,-197.5,19493,1.0815,0.000760349,0.210915071,https://doi.org/10.1021/acsami.0c22558
Mg3.50Gd0.04Sb2.00,300,-220.36,15045,1.1011,0.000730563,0.19904543,https://doi.org/10.1021/acsami.0c22558
Mg3.50Gd0.04Sb2.00,300,-190.1,21413,1.19,0.000773823,0.195081481,https://doi.org/10.1021/acsami.0c22558
Mg3.50Gd0.04Sb2.00,300,-196.43,23049,1.2066,0.00088934,0.221118793,https://doi.org/10.1021/acsami.0c22558
Mg3.50Gd0.03Sb1.97Te0.03,300,-215,18956,1.0043,0.000876241,0.261746819,https://doi.org/10.1021/acsami.0c22558
Mg3.50Gd0.04Sb1.97Te0.03,300,-183.21,20045,0.9457,0.000672829,0.213438262,https://doi.org/10.1021/acsami.0c22558
Mg3.50Ho0.01Sb2.00,300,-199.3,2217,1.118,8.81E-05,0.023629783,https://doi.org/10.1021/acsami.0c22558
Mg3.50Ho0.02Sb2.00,300,-194.37,11239,1.2494,0.000424606,0.098,https://doi.org/10.1021/acsami.0c22558
Mg3.50Ho0.03Sb2.00,300,-192.96,16695,1.2371,0.000621614,0.150743103,https://doi.org/10.1021/acsami.0c22558
Mg3.50Ho0.04Sb2.00,300,-188.8,19512,1.3404,0.000695514,0.155665583,https://doi.org/10.1021/acsami.0c22558
Mg3.50Ho0.01Sb1.97Te0.03,300,-214.1,19512,1.143,0.000894407,0.234752457,https://doi.org/10.1021/acsami.0c22558
Mg3.50Ho0.02Sb1.97Te0.03,300,-217.96,25916,1.143,0.00123118,0.32314437,https://doi.org/10.1021/acsami.0c22558
Mg3.50Ho0.03Sb1.97Te0.03,300,-200,27081,1.164,0.00108324,0.279185567,https://doi.org/10.1021/acsami.0c22558
Mg3.50Ho0.04Sb1.97Te0.03,300,-206.34,27189,1.1787,0.001157604,0.294630741,https://doi.org/10.1021/acsami.0c22558
Mg2.00Zn0.96Sb2.00,300,288.82,3013,0.6822,0.000251335,0.110525681,https://doi.org/10.1021/acsami.0c09391
Mg2.00Zn0.98Sb2.00,300,277.63,5364,0.7563,0.000413449,0.164001836,https://doi.org/10.1021/acsami.0c09391
Mg2.00Zn1.00Sb2.00,300,427.5,662,0.7341,0.000120985,0.049442026,https://doi.org/10.1021/acsami.0c09391
Mg2.00Zn1.02Sb2.00,300,411.84,662,0.7119,0.000112283,0.047317011,https://doi.org/10.1021/acsami.0c09391
Mg2.00Zn1.04Sb2.00,300,433.55,430,0.7167,8.08E-05,0.033832235,https://doi.org/10.1021/acsami.0c09391
Mg1.98Li0.02Zn0.98Sb2.00,300,77.25,100529,1.1789,0.000599913,0.15266259,https://doi.org/10.1021/acsami.0c09391
Mg1.98K0.02Zn0.98Sb2.00,300,205.82,10688,0.741,0.000452764,0.183305139,https://doi.org/10.1021/acsami.0c09391
Mg1.98Ag0.02Zn0.98Sb2.00,300,94.71,62222,1.078,0.00055813,0.155323845,https://doi.org/10.1021/acsami.0c09391
Mg1.96Li0.04Zn0.98Sb2.00,300,52.38,153439,1.4171,0.000420985,0.08912253,https://doi.org/10.1021/acsami.0c09391
Ag1.00Sb0.99Mn0.01Te2.00,301,76.7,51733,0.9973,0.00030434,0.09185421,https://doi.org/10.1021/acs.inorgchem.9b00852
Pb0.96Tl0.02Na0.02Te1.00,301,120.13,102249,2.1611,0.001475577,0.205519794,https://doi.org/10.1021/acsami.1c14236
Pb0.97Tl0.01Na0.01Te1.00,301,119.16,95296,2.1389,0.001353118,0.190419612,https://doi.org/10.1021/acsami.1c14236
Pb0.98Tl0.01Na0.01Te1.00,301,105.84,108496,2.5222,0.001215384,0.145044199,https://doi.org/10.1021/acsami.1c14236
Pb0.98Tl0.01Na0.01Te1.00,301,125.2,91454,2.2944,0.001433545,0.188065323,https://doi.org/10.1021/acsami.1c14236
Pb0.99Na0.01Te1.00,301,58.75,235400,3.8944,0.000812498,0.062798336,https://doi.org/10.1021/acsami.1c14236
Pb0.99Tl0.01Na0.01Te1.00,301,115.3,81560,2.4722,0.001084266,0.132013615,https://doi.org/10.1021/acsami.1c14236
Pb0.99Tl0.01Te1.00,301,119.81,59076,2.2556,0.000848003,0.113162264,https://doi.org/10.1021/acsami.1c14236
Cu1.85Se1.00,301,25.58,493269,2.8806,0.000322764,0.03372628,https://doi.org/10.1021/acsami.1c08886
Li0.01Cu1.85Se1.00,301,26.49,436538,2.4254,0.000306327,0.038016234,https://doi.org/10.1021/acsami.1c08886
Li0.02Cu1.85Se1.00,301,34.7,179808,2.746,0.000216505,0.0244,https://doi.org/10.1021/acsami.1c08886
Li0.03Cu1.85Se1.00,301,38.83,135577,1.8507,0.000204419,0.033246909,https://doi.org/10.1021/acsami.1c08886
Ag1.00Sb0.93Mn0.07Te2.00,302,58.43,121745,1.15,0.000415645,0.109152078,https://doi.org/10.1021/acs.inorgchem.9b00852
Zr1.00Ni1.00Pb1.00,303,-228.2,14590,7.669,0.000759778,0.030018602,https://doi.org/10.1021/acs.chemmater.6b04898
Zr1.00Ni1.00Pb0.92Sn0.60Bi0.02,303,-97,333333,5.9,0.00313633,0.161069161,https://doi.org/10.1021/acs.chemmater.6b04898
Zr1.00Ni1.00Pb0.94Sn0.40Bi0.02,303,-85.24,376450,5.9187,0.002735232,0.140026581,https://doi.org/10.1021/acs.chemmater.6b04898
Zr1.00Ni1.00Pb0.96Sn0.20Bi0.02,303,-84.5,445128,6.6,0.003178325,0.145914021,https://doi.org/10.1021/acs.chemmater.6b04898
Zr1.00Ni1.00Pb0.98Bi0.01,303,-90.61,347550,10.803,0.002853445,0.080032762,https://doi.org/10.1021/acs.chemmater.6b04898
Zr1.00Ni1.00Pb0.98Bi0.02,303,-89.8,394700,10.836,0.003182877,0.089000702,https://doi.org/10.1021/acs.chemmater.6b04898
Zr1.00Ni1.00Pb0.99Bi0.01,303,-156.4,174500,10.377,0.004268438,0.12463492,https://doi.org/10.1021/acs.chemmater.6b04898
Zr1.00Ni1.00Pb0.99Bi0.01,303,-169,130250,9.7377,0.00373,0.115754366,https://doi.org/10.1021/acs.chemmater.6b04898
Zr1.00Ni1.00Pb0.90Sn0.80Bi0.02,303,-123.5,190000,6.439,0.002897928,0.136367764,https://doi.org/10.1021/acs.chemmater.6b04898
Zr1.00Ni1.00Sn0.98Bi0.02,303,-136,42687,9.72,0.000789539,0.024612165,https://doi.org/10.1021/acs.chemmater.6b04898
Cu2.00Se1.00,303,72.7,143966,1.2,0.000760902,0.19212777,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.88S0.12,303,106.58,69583,0.608,0.000790414,0.393906938,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.92S0.08,303,97.7,103086,0.73,0.000983986,0.408421489,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.94S0.06,303,92,117606,0.788,0.000995417,0.37,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.96S0.04,303,88.82,121014,0.872,0.000954679,0.331728892,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.98S0.02,303,85.86,124627,0.902,0.000918743,0.308624216,https://doi.org/10.1021/acs.chemmater.7b01687
Ag1.00Sb1.00Te2.00,303,82.09,38533,0.976,0.000259665,0.080613197,https://doi.org/10.1021/acs.inorgchem.9b00852
Ag0.05Sb0.05Sn0.90S0.05Se0.05Te0.90,303,49.31,273832,3.392,0.000665816,0.059475895,https://doi.org/10.1021/acsaem.1c02448
Ag0.15Sb0.15Sn0.70S0.15Se0.15Te0.70,303,77.03,81308,1.2703,0.000482451,0.115077231,https://doi.org/10.1021/acsaem.1c02448
Ag0.10Sb0.10Sn0.80S0.10Se0.10Te0.80,303,60.79,145794,1.811,0.000538771,0.090142192,https://doi.org/10.1021/acsaem.1c02448
Cu1.00Ag1.00Te0.50Se0.50,303,147.87,10703,0.4669,0.000234027,0.151874348,https://doi.org/10.1021/acsami.1c20333
Cu1.00Ag1.00Te0.60Se0.40,303,198.37,10945,0.4518,0.000430693,0.288844535,https://doi.org/10.1021/acsami.1c20333
Cu1.00Ag1.00Te0.70Se0.30,303,215.49,11867,0.3928,0.000551055,0.425075754,https://doi.org/10.1021/acsami.1c20333
Li0.03Cu1.83Bi0.02Se1.00,303,52.5,89655,1.0625,0.000247112,0.070470412,https://doi.org/10.1021/acsami.1c08886
Li0.03Cu1.82Bi0.03Se1.00,303,51.75,101149,1.1161,0.000270883,0.073539695,https://doi.org/10.1021/acsami.1c08886
Li0.03Cu1.81Bi0.04Se1.00,303,57,96552,1.0714,0.000313697,0.088716004,https://doi.org/10.1021/acsami.1c08886
Li0.03Cu1.80Bi0.05Se1.00,303,56.25,81609,0.8929,0.000258216,0.087623968,https://doi.org/10.1021/acsami.1c08886
Ag0.97Cr1.00Se2.00,303,85.49,26857,0.4979,0.000196285,0.119450683,https://doi.org/10.1021/acsami.0c09355
Ag0.97Cr0.99Sb0.01Se2.00,303,78.6,30323,0.5862,0.000187334,0.096830923,https://doi.org/10.1021/acsami.0c09355
Ag0.97Cr0.97Sb0.03Se2.00,303,74.15,32414,0.5444,0.000178219,0.09919264,https://doi.org/10.1021/acsami.0c09355
Ag0.97Cr0.95Sb0.05Se2.00,303,82.63,20889,0.6146,0.000142624,0.07031423,https://doi.org/10.1021/acsami.0c09355
Ag0.97Cr0.99Bi0.01Se2.00,303,77.75,22488,0.5339,0.000135941,0.077149717,https://doi.org/10.1021/acsami.0c09355
Ag0.97Cr0.97Bi0.03Se2.00,303,77.55,24870,0.4937,0.000149568,0.091794971,https://doi.org/10.1021/acsami.0c09355
Ag0.97Cr0.95Bi0.05Se2.00,303,87.92,21364,0.5356,0.000165142,0.093424329,https://doi.org/10.1021/acsami.0c09355
Ca0.99Yb4.01Al2.00Sb5.84Ge0.16,304,180.3,607,1.25,1.97E-05,0.004798922,https://doi.org/10.1021/acs.inorgchem.9b00181
Ca1.11Yb3.89Al2.00Sb5.77Ge0.23,304,33.02,21308,2.3407,2.32E-05,0.003017343,https://doi.org/10.1021/acs.inorgchem.9b00181
Ta0.84Ti0.16Fe1.00Sb1.00,304,105,409100,5.493,0.00452,0.249615795,https://doi.org/10.1038/s41467-018-08223-5
Ta0.88Ti0.12Fe1.00Sb1.00,304,111.4,401150,5.977,0.005,0.253202218,https://doi.org/10.1038/s41467-018-08223-5
Ta0.92Ti0.08Fe1.00Sb1.00,304,135,277000,6.62,0.005048325,0.231826405,https://doi.org/10.1038/s41467-018-08223-5
Ta0.96Ti0.04Fe1.00Sb1.00,304,178.5,77700,6.92,0.002475697,0.108758936,https://doi.org/10.1038/s41467-018-08223-5
Ta0.98Ti0.02Fe1.00Sb1.00,304,181.8,43600,8.52,0.001417,0.051417178,https://doi.org/10.1038/s41467-018-08223-5
Hf0.50Ti0.50Co1.00Sb0.80Sn0.20,305,178.8,43000,2.533,0.001374686,0.16,10.1039/c2ee21554c
Hf0.70Ti0.30Co1.00Sb0.80Sn0.20,305,158.8,55450,2.781,0.001398307,0.153356221,10.1039/c2ee21554c
Hf0.80Ti0.20Co1.00Sb0.80Sn0.20,305,158,61600,2.764,0.001532,0.169690171,10.1039/c2ee21554c
Hf0.90Ti0.10Co1.00Sb0.80Sn0.20,305,141.1,81000,3.45,0.001606,0.142,10.1039/c2ee21554c
Ag2.00Se1.00,305,-139.79,118033,0.9124,0.002306512,0.771028121,https://doi.org/10.1021/acsami.1c18483
Bi2.00Te3.00,306,-114.53,45000,0.9574,0.00059027,0.188659656,https://doi.org/10.1021/acsami.1c00355
Bi1.94Nb0.06Te3.00,306,-87.63,82157,0.882,0.000630885,0.218878466,https://doi.org/10.1021/acsami.1c00355
Bi1.92Nb0.08Te3.00,306,-96.58,115325,0.8695,0.001075717,0.37857306,https://doi.org/10.1021/acsami.1c00355
Bi1.90Nb0.10Te3.00,306,-100.4,64510,0.856,0.000650271,0.232456733,https://doi.org/10.1021/acsami.1c00355
Ag2.00Se0.98,307,-131,143400,1.074,0.002460887,0.711,https://doi.org/10.1021/acsami.1c18483
Cu26.00Ti2.00Sb3.00Ge3.00S32.00,308,67.01,158333,1.9948,0.000710969,0.109774643,https://doi.org/10.1021/acs.chemmater.1c00872
Cu26.00Ti2.00Sb4.00Ge2.00S32.00,308,115.98,59375,1.299,0.000798675,0.189370095,https://doi.org/10.1021/acs.chemmater.1c00872
Ag2.00Se1.02,308,-141,125410,0.975,0.002493276,0.8,https://doi.org/10.1021/acsami.1c18483
Cu26.00V2.00Ge3.00Sb3.00S32.00,309,116.2,57368,1.6923,0.000774608,0.141437018,https://doi.org/10.1021/acs.inorgchem.1c01321
Cu26.00V2.00Ge4.00Sb2.00S32.00,309,66.51,175410,2.5714,0.00077594,0.093243182,https://doi.org/10.1021/acs.inorgchem.1c01321
Cu26.00V2.00Ge5.00Sb1.00S32.00,309,39.9,334375,3.648,0.000532328,0.045090312,https://doi.org/10.1021/acs.inorgchem.1c01321
Cu26.00V2.00Ge6.00S32.00,309,18.81,545000,5.3146,0.00019283,0.011211455,https://doi.org/10.1021/acs.inorgchem.1c01321
Ag2.00Se1.00,309,-129.15,135738,1.041,0.002264072,0.69,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.06,309,-142.98,110600,0.9072,0.002261027,0.793,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.03,310,-143.2,108700,0.988,0.002229028,0.699391467,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.04,311,-145.32,106721,0.9438,0.002253724,0.767,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.01,312,-142,118525,1.02,0.002389938,0.731039889,https://doi.org/10.1021/acsami.1c18483
Ag8.00Sn0.50Ga0.50Se6.00,313,-566.36,17,0.21,5.45E-06,0.005,https://doi.org/10.1021/acsami.1c17548
Ag8.00Sn0.70Ga0.30Se6.00,313,-549.53,33,0.2161,9.97E-06,0.014433987,https://doi.org/10.1021/acsami.1c17548
Ag2.00Se0.50Te0.50,315,-92.76,63400,0.632,0.00054552,0.271896873,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.60Te0.40,315,-108,77156,0.688,0.000899948,0.412039955,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.80Te0.20,315,-126.5,93850,0.765,0.001501811,0.618392832,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.90Te0.10,315,-136.6,94128,0.818,0.001756387,0.676359322,https://doi.org/10.1021/acs.inorgchem.1c01563
Ba1.40Bi0.60Co1.00Ru1.00O6.00,318,301,7310,1.2,0.000662293,0.175507727,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba1.60Bi0.40Co1.00Ru1.00O6.00,318,157.2,12500,1.324,0.000308898,0.074191514,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba1.80Bi0.20Co1.00Ru1.00O6.00,318,78.8,21850,1.415,0.000135676,0.030491203,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba1.80Bi0.20Co1.00Ru1.00O6.00,318,97.5,17800,1.394,0.000169211,0.0374,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba1.90Bi0.10Co1.00Ru1.00O6.00,318,65.4,28500,1.444,0.000122,0.026844807,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba2.00Co1.00Ru1.00O6.00,318,54.8,33800,1.4848,0.000101503,0.0216,https://doi.org/10.1021/acs.inorgchem.1c02442
Pb0.99Zn0.02Te1.00,318,-213,80921,2.28,0.003671305,0.503,https://doi.org/10.1021/acsami.1c14518
Pb0.98Zn0.03Te1.00,318,-171.2,105000,2.42,0.003077491,0.397,https://doi.org/10.1021/acsami.1c14518
Pb0.98Zn0.04Te1.00,318,-161,114276,2.5902,0.002962148,0.358,https://doi.org/10.1021/acsami.1c14518
Bi0.82Ba0.17Cu1.00Se1.00O1.00,319,151.28,24279,0.7669,0.000768,0.319457556,https://doi.org/10.1021/acsaem.1c02720
Bi0.88Ba0.12Cu1.00Se1.00O1.00,319,175,18942,0.9559,0.000580099,0.193588766,https://doi.org/10.1021/acsaem.1c02720
Bi0.80Ba0.20Cu1.00Se1.00O1.00,319,178.4,22596,0.8866,0.0007495,0.269671216,https://doi.org/10.1021/acsaem.1c02720
Bi0.95Ba0.05Cu1.00Se1.00O1.00,319,232.1,6796,0.93,0.000366103,0.125577371,https://doi.org/10.1021/acsaem.1c02720
Bi1.00Cu1.00Se1.00O1.00,319,427.56,777,0.7843,0.000142041,0.057772828,https://doi.org/10.1021/acsaem.1c02720
Tm1.00Cu1.00Te2.00,320,73.7,95941,1.5774,0.000521122,0.105717615,10.1002/chem.201404453
Co1.00Si1.00,320,-79.4,555190,13.694,0.003500118,0.081790393,https://doi.org/10.1016/j.jallcom.2004.09.036
Co1.00Si0.98Ge0.02,320,-81.453,584370,12.08,0.003877056,0.102703472,https://doi.org/10.1016/j.jallcom.2004.09.036
Co1.00Si0.99B0.01,320,-82.28,705300,14.06,0.00477488,0.1078,https://doi.org/10.1016/j.jallcom.2004.09.036
Cr1.99Fe0.01Ge2.00Te6.00,320,500,109.375,0.8343,2.73E-05,0.010487834,https://doi.org/10.1021/acs.chemmater.7b02346
Cr1.99Mn0.01Ge2.00Te6.00,320,360.3,593.75,0.8202,7.71E-05,0.030072003,https://doi.org/10.1021/acs.chemmater.7b02346
Cr2.00Ge2.00Te6.00,320,573.71,46.875,0.9157,1.54E-05,0.005391665,https://doi.org/10.1021/acs.chemmater.7b02346
Sn1.00Te21.00Cu1.00Sb1.00,320,30.2,406300,4.4348,0.000370562,0.026738476,https://doi.org/10.1021/acsami.1c15614
Sn1.00Te21.00Cu1.00Sb1.00,320,25.55,513706,6.9877,0.000335349,0.015357205,https://doi.org/10.1021/acsami.1c15614
Pb1.00Zn0.01Te1.00,320,-248.91,57200,2.075,0.003543894,0.55,https://doi.org/10.1021/acsami.1c14518
Cu11.70Gd0.30Sb4.00S13.00,320,80.21,117112,1.3916,0.000753457,0.173258276,https://doi.org/10.1021/acsami.1c03493
Ag1.00Cu1.00Te1.00,320,65.19,75588,1.0716,0.000321229,0.093,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.90Se0.10,320,172,34854,0.4531,0.001031121,0.7446,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.80Se0.20,320,97,29515,0.6348,0.0002734,0.139990742,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.70Se0.30,320,200.48,20194,0.4679,0.0008173,0.5473,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.60Se0.40,320,219.23,11068,0.5358,0.000531948,0.317699395,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.50Se0.50,320,97.32,5534,0.341,5.24E-05,0.049185711,https://doi.org/10.1021/acsami.0c17836
Ge1.00Se0.90Te0.10,320,75.31,2974,1.932,1.69E-05,0.00279376,https://doi.org/10.1021/acsami.0c10850
Ge1.00Se0.85Te0.15,320,15.04,88059,2,1.99E-05,0.003187054,https://doi.org/10.1021/acsami.0c10850
Ge1.00Se0.80Te0.20,320,14.83,108955,2.0144,2.40E-05,0.003806569,https://doi.org/10.1021/acsami.0c10850
Ge1.00Se0.75Te0.25,320,14.03,99254,1.6845,1.95E-05,0.003711439,https://doi.org/10.1021/acsami.0c10850
Ge1.00Se0.70Te0.30,320,13.84,101119,1.6408,1.94E-05,0.003777455,https://doi.org/10.1021/acsami.0c10850
Ge1.00Se0.65Te0.35,320,11.56,131716,1.8883,1.76E-05,0.002982862,https://doi.org/10.1021/acsami.0c10850
Ge1.00Se0.60Te0.40,320,51.13,203731,2.9563,0.000532609,0.057651442,https://doi.org/10.1021/acsami.0c10850
Ge1.00Se0.55Te0.45,320,50.08,222761,2.7379,0.000558686,0.065298048,https://doi.org/10.1021/acsami.0c10850
Ge1.00Se0.50Te0.50,320,46.42,241791,2.9563,0.000521015,0.056396464,https://doi.org/10.1021/acsami.0c10850
Ca1.00Ti1.00O3.00,321,-252.3,5400,4.692,0.000343739,0.023516641,https://doi.org/10.1016/j.cej.2021.131121 
La0.25Ca0.75Ti1.00O3.00,321,-48,245200,4.063,0.000564941,0.044633521,https://doi.org/10.1016/j.cej.2021.131121 
La0.20Ca0.80Ti1.00O3.00,321,-52,339247,4.273,0.000917324,0.068911998,https://doi.org/10.1016/j.cej.2021.131121 
Sn1.00Te21.00Cu1.00Sb1.00,321,39.01,329501,3.7267,0.000501428,0.0431906,https://doi.org/10.1021/acsami.1c15614
Sn1.00Te21.00Cu1.00Sb1.00,321,28.57,441207,5.6273,0.000360133,0.020543188,https://doi.org/10.1021/acsami.1c15614
Cu12.00Sb4.00S13.00,322,95.52,14111,0.4921,0.00012875,0.0825,https://doi.org/10.1021/acs.chemmater.6b04950
Cu11.00Zn1.00Sb4.00S13.00,322,130.6,9622,0.43,0.000164116,0.122896389,https://doi.org/10.1021/acs.chemmater.6b04950
Ag0.01Sn0.99Se1.00,322,296.15,1547,0.5315,0.000135679,0.082198973,https://doi.org/10.1021/acs.chemmater.7b01612
Ag0.01Sn0.99Se0.65S0.35,322,304.7,550,0.2932,5.11E-05,0.056078902,https://doi.org/10.1021/acs.chemmater.7b01612
Ag0.01Sn0.99Se0.85S0.15,322,306,1116,0.2096,0.000104498,0.160535705,https://doi.org/10.1021/acs.chemmater.7b01612
Ag0.01Sn0.99Se0.80S0.20,322,313.68,1031,0.1986,0.000101445,0.16447843,https://doi.org/10.1021/acs.chemmater.7b01612
Ag0.01Sn0.99Se0.90S0.10,322,300.85,1505,0.3315,0.000136219,0.132314936,https://doi.org/10.1021/acs.chemmater.7b01612
Ba1.00Bi1.00Te2.95Se0.05,322,-152,6210,0.437,0.000143476,0.10571904,https://doi.org/10.1021/acs.chemmater.7b04123
Ba1.00Bi1.00Te2.90Se0.10,322,-154.6,4240,0.413,0.000101341,0.079011563,https://doi.org/10.1021/acs.chemmater.7b04123
Tl8.95Bi1.05Te6.00,322,-220,170,0.3375,8.23E-06,0.007850121,https://doi.org/10.1021/cm402593f
Tl8.99Bi1.01Te6.00,322,243,8350,0.396,0.000493059,0.400921834,https://doi.org/10.1021/cm402593f
In4.00Se2.32Cl0.03,323,-213.1,31000,1.2467,0.00140776,0.3676,10.1002/adma.201004739
In4.00Se2.67Cl0.03,323,-103.3,105263,0.88,0.00112325,0.412283768,10.1002/adma.201004739
Cu10.50Ni0.50Zn1.00Sb4.00S13.00,323,168.2,6860,0.398,0.000194078,0.157505437,10.1021/cm502570b
Cu10.50Ni1.50Sb4.00S13.00,323,136.4,16380,0.6315,0.000304749,0.155873327,10.1021/cm502570b
Cu10.50Ni1.00Zn0.50Sb4.00S13.00,323,160,14530,0.5,0.000371968,0.240291328,10.1021/cm502570b
Cu2.00Sn0.80Zn0.20S3.00,323,44,137534,2.575,0.000266266,0.033399558,10.1038/srep32501
Cu2.00Sn0.95Zn0.05S3.00,323,98.5,18500,1.588,0.000179492,0.036508687,10.1038/srep32501
Cu2.00Sn0.90Zn0.10S3.00,323,70.7,55616,1.878,0.000277996,0.047812947,10.1038/srep32501
Cu2.00Sn1.00S3.00,323,283,132,2.38,1.06E-05,0.001434737,10.1038/srep32501
In4.00Pb0.01Sn0.03Se2.90Cl0.02,323,-205,7453,0.9462,0.000313212,0.10691987,10.1039/c4dt03432e
In4.00Pb0.01Sn0.03Se2.90Cl0.04,323,-197.8,6700,0.911,0.000262136,0.092941895,10.1039/c4dt03432e
In4.00Pb0.01Sn0.03Se2.90Cl0.06,323,-199.2,3050,0.944,0.000121026,0.038,10.1039/c4dt03432e
Bi1.00Cu0.90Se1.00O1.00,323,166,43,1.19,1.18E-06,0.000321618,https://doi.org/10.1021/ja2091195
Bi1.00Cu0.93Se1.00O1.00,323,242.45,2788,1.4,0.000163884,0.037810431,https://doi.org/10.1021/ja2091195
Bi1.00Cu0.97Se1.00O1.00,323,167.59,2330,0.787,6.54E-05,0.026858386,https://doi.org/10.1021/ja2091195
Bi1.00Cu1.00Se1.00O1.00,323,354,114,0.606,1.43E-05,0.007614498,https://doi.org/10.1021/ja2091195
Ag1.00Bi1.00Se2.00,323,-133,18550,0.605,0.000328131,0.175183962,10.1039/c7dt04821a
Ge0.99Te1.00,323,40.54,699510,5.7,0.001149639,0.065146199,10.1039/C9EE00317G
Ge1.04Te1.00,323,72,463000,5.24,0.002400192,0.17,10.1039/C9EE00317G
Ge1.00Te1.00,323,49,586777,5.7,0.001408852,0.079834923,10.1039/C9EE00317G
Cu2.82Ag0.18Sb1.00Se4.00,323,336,10316,1.54,0.001164635,0.25,10.1039/c9ta05115e
Cu2.88Ag0.12Sb1.00Se4.00,323,344,12645,1.87,0.001496359,0.258461961,10.1039/c9ta05115e
Cu2.94Ag0.06Sb1.00Se4.00,323,407,6275,2.05,0.001039447,0.163776358,10.1039/c9ta05115e
Cu3.00Sb1.00Se4.00,323,497,2394,2.42,0.00059134,0.078926725,10.1039/c9ta05115e
Tl1.00Cr5.00Se8.00,323,226,6670,0.706,0.000340677,0.155862104,dx.doi.org/10.1021/cm400365q
Bi0.92Ag0.08Cu1.00Se1.00O1.00,323,184.7,2420,0.5263,8.26E-05,0.050666197,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015
